Gene name,Gene start (bp),Gene end (bp),Chromosome/scaffold name
,32103445,32121941,5
,8012377,8014804,5
MRPS30,44808947,44820428,5
GHR,42423439,42721878,5
CDH9,26880597,27121150,5
,66298394,66393521,5
,73132008,73150592,5
CCNO-DT,55233934,55295201,5
,17642962,17643228,5
LINC02228,25087450,25190956,5
LINC02100,18704433,18746173,5
ADAMTS12,33523535,33892019,5
LINC02899,23951348,24178263,5
,73195314,73201973,5
LINC02225,57890327,57899162,5
,21493436,21494596,5
H3P20,17620533,17620939,5
MCIDAS,55219564,55227315,5
,21481327,21484011,5
,70197255,70207745,5
,31725539,31725902,5
,25404733,25445925,5
,50633124,50633602,5
UGT3A1,35951006,36001028,5
LINC01335,74258689,74321255,5
,26382519,26399819,5
,54643557,54645987,5
,7362979,7364531,5
,43515274,43525310,5
CDH18,19471296,20575873,5
,53897464,53899370,5
,41895068,41895599,5
,32522758,32523865,5
LINC02149,15112120,15266541,5
RAI14,34656328,34832612,5
CDH12,21750673,22853344,5
RPL19P11,31053565,31054153,5
,29516005,29516504,5
,24881943,24885461,5
,63301523,63302056,5
TAF11L5,17525235,17525831,5
,12553890,12574637,5
,43586367,43587543,5
HMGB1P47,51409617,51410205,5
,55356308,55357523,5
FGF10,44300247,44389706,5
,26711551,26749997,5
,67356663,67366303,5
,37939365,37947955,5
,57120796,57122624,5
,28808538,28809255,5
,24170370,24171246,5
RAB3C,58582221,58859394,5
MRPS30-DT,44742420,44808777,5
C5orf34,43486709,43515148,5
,59314110,59314800,5
,79229904,79230588,5
LINC00603,39892138,40053324,5
,17367588,17375653,5
,23262159,23263185,5
LINC01331,74111690,74536976,5
,73152416,73152938,5
,24554018,24613222,5
EMB,50396192,50443248,5
,40463562,40504563,5
ELOVL7,60751791,60844274,5
,50965687,50967008,5
,51275253,51275734,5
SUCLG2P4,29001760,29003357,5
,32887990,32888145,5
,21323873,21341375,5
,30545177,30693984,5
TRMT112P2,80033171,80033302,5
RPSAP38,41951313,41952193,5
RPS17P11,52282567,52282859,5
ITGA1,52787916,52959209,5
,54286194,54286331,5
DEPDC1B,60596912,60700190,5
RPL7AP32,79529302,79530093,5
UBL5P1,29600676,29600868,5
,72687112,72771733,5
,8717684,8717883,5
,78708734,78716082,5
,31747644,31748078,5
HEXB,74640023,74722647,5
FAM151B,80487969,80542563,5
,25425412,25425599,5
CCDC152,42756818,42802439,5
MTREX,55307989,55425579,5
,63569419,63571617,5
TMEM167A,83052846,83077863,5
HAPLN1,83637805,83720855,5
,33367179,33368778,5
,44826076,44828592,5
,41585882,41587787,5
,50662859,50663266,5
,34656412,34657250,5
,40306824,40312905,5
,83012285,83013109,5
,86380660,86381426,5
,57317989,57320020,5
CAB39P1,60630514,60630973,5
VCAN,83471618,83582303,5
LINC01333,74321293,74341236,5
OXCT1,41730065,41870425,5
SUB1,32531633,32604079,5
CDH18-AS1,20305565,20347972,5
CAPSL,35904288,35938779,5
,8080186,8080761,5
RPL29P12,43666766,43667232,5
,38763158,38764289,5
TRAPPC13,65625004,65666233,5
,7367929,7373074,5
,85663232,85664684,5
,31738269,31738660,5
,38783580,38792754,5
PPIAP78,66572057,66572546,5
KRT18P56,40066651,40067200,5
CCNB3P1,26739753,26741183,5
,51427996,51428427,5
,63957893,63981043,5
GZMK,55024256,55034570,5
GUSBP13,69875271,69920867,5
MIR4280HG,87048858,87138397,5
ARSB,78777209,78986087,5
CENPK,65517766,65563168,5
PDZD2,31639131,32110932,5
,79774348,79816190,5
AMD1P3,43586918,43588223,5
LINC02109,28809331,29217115,5
,45226286,45228428,5
EGFLAM-AS2,38399814,38403471,5
,56488486,56491499,5
CCNH,87318416,87412930,5
NT5ELP,64404512,64486615,5
,86402465,86402960,5
,58741581,58817099,5
,80855507,80855843,5
,88382948,88383260,5
NDUFB4P2,59528861,59529251,5
ZSWIM6,61332258,61546172,5
,50603229,50603511,5
LINC02110,37948491,37951055,5
RPL5P15,58822503,58823714,5
ITGA2,52989340,53094779,5
JMY,79236131,79327211,5
,31065970,31066132,5
RPS27AP9,80498534,80498971,5
SETP21,60459848,60460739,5
GDNF,37812677,37840041,5
RPS2P25,85762559,85763138,5
,32221932,32222347,5
RPL17P22,56136979,56137531,5
GLRX,95751319,95822726,5
,32888236,33298066,5
,50858760,50860020,5
,67699429,67902600,5
SERINC5,80111651,80256048,5
,82545862,82546310,5
,44752949,44765744,5
NIPBL,36876769,37066413,5
LINC02118,52008031,52080987,5
LINC02106,50969217,50970167,5
CKMT2,81233320,81266398,5
,92410256,92660863,5
,91354478,91354934,5
GDNF-AS1,37811589,37953827,5
H3P17,17502043,17502363,5
EEF1A1P19,43495073,43496454,5
,93790505,93801320,5
OSMR,38845858,38945596,5
,45557919,45559986,5
SHLD3,65625027,65630928,5
,83746388,83746989,5
DCAF13P2,17202274,17203145,5
ATG10,81972023,82276857,5
MFSD4BP1,52579555,52581106,5
RASGRF2,80960363,81230162,5
GUSBP8,99532628,99534611,5
,59039761,59063503,5
VCAN-AS1,83531352,83581320,5
,78753596,78753873,5
,91223419,91223967,5
SGTB,65665928,65723035,5
HNRNPKP5,14877667,14877919,5
MTND5P10,100046977,100048785,5
GOLPH3,32124716,32174319,5
PSME2P1,98213402,98214121,5
,21569755,21570045,5
ANKRD34B,80556755,80570280,5
PSMC1P5,107195156,107195332,5
RAI14-DT,34651457,34651888,5
,55978248,56111329,5
ACTBL2,57480018,57482811,5
ATG10-IT1,81991995,81992481,5
NUDT12,103548855,103562790,5
,58846885,58863414,5
GPBP1,57173948,57264679,5
LINC02144,87665345,87733269,5
LINC01948,56451627,56481946,5
MSH3,80654652,80876815,5
RAB5CP2,91476382,91477018,5
SPZ1,80319625,80321842,5
,70775506,70778475,5
,106543066,106544330,5
,82586776,82587411,5
,29795938,29796268,5
CD180,67179613,67196799,5
RPL7P24,80500332,80501400,5
,98025965,98026139,5
IL7R,35852695,35879603,5
COX7C,86617928,86620962,5
,65486444,65487048,5
,86305233,86306149,5
,85848502,85849199,5
LINC02061,32646564,32651976,5
,88433892,88498697,5
HSPD1P11,95768999,95770700,5
LINC02059,86746818,86749777,5
RGS7BP,64506015,64612319,5
PPIAP79,84999812,85000315,5
RASGRF2-AS1,80947694,80960907,5
LINC00604,40240167,40267657,5
,43874367,43886628,5
,25716271,25716715,5
PDZPH1P,103430406,103526618,5
MTCO1P22,100053686,100055045,5
,24352309,24353443,5
,28213359,28214559,5
,55054428,55055140,5
C1GALT1P2,56192530,56193633,5
,52853183,52872925,5
,60699729,60702010,5
,104434772,104435499,5
HMGB3P16,112452703,112452989,5
,83049376,83050964,5
CCNO,55231152,55233608,5
,28897785,28898274,5
PRLR,35048756,35230487,5
,95964999,95986311,5
,80128361,80143883,5
,60021249,60033020,5
LINC02105,53776048,53819722,5
,109470843,109471586,5
,100388853,100389938,5
CRLF3P2,99948295,99949583,5
,67463809,67475592,5
MTCO3P22,100051133,100051916,5
ISCA1P1,62776877,62777263,5
CAMK4,111223653,111494886,5
,91355380,91356026,5
GGCTP1,95834424,95835046,5
EGFLAM-AS1,38425036,38427376,5
,89900664,89990883,5
,86335024,86335808,5
,67800740,67890096,5
,115489634,115489931,5
,101976296,101976798,5
HMGN1P14,111846050,111846566,5
SELENOP,42799880,42887392,5
PPIAP11,82009602,82010094,5
MTND4P35,100048988,100050362,5
,91226475,91227071,5
,92082597,92479426,5
,82765404,82766333,5
LNCBRM,57574027,57619816,5
,93860669,93863825,5
,45574590,45576612,5
,95849309,95849855,5
,112228283,112257309,5
,98338744,98339832,5
,51438792,51665048,5
,114475339,114668410,5
NDUFS4,53560633,53683338,5
RACK1P1,108784098,108785552,5
,58114598,58145996,5
,69631963,69636399,5
NAIPP2,70094659,70128434,5
KRT8P31,60743563,60744970,5
LDHBP3,92840807,92841628,5
STARD4,111496033,111512590,5
RPL5P14,31847271,31848148,5
LINC02148,118282575,118284782,5
LINC02218,17444010,17486829,5
SALL4P1,57422464,57424391,5
,86797685,86800280,5
LINC02115,103528434,103541985,5
,104917492,105246364,5
,86353803,86368854,5
H3P24,115770586,115770989,5
LINC02215,118596188,118628092,5
PCSK1,96390333,96434143,5
FAM172A,93617725,94111699,5
RBMX2P5,80331573,80332541,5
LINC01846,98085866,98161352,5
,50903608,50903743,5
DMGDH,78997564,79236038,5
,70055820,70057416,5
PTP4A1P4,86087526,86087847,5
LINC02101,58107631,58122375,5
,117313085,117330149,5
,80746339,80746819,5
,61878109,61927134,5
LINC01957,114576041,114579970,5
,56941307,56947152,5
NREP-AS1,111912508,112017309,5
CMYA5,79689836,79800240,5
MTATP6P2,100051920,100052597,5
ZP3P1,83875166,83875821,5
SERBP1P6,42465400,42468868,5
TRPC6P6,24749374,24749772,5
PLPP1,55424854,55534969,5
,66622868,66623177,5
LINC02117,37899363,37920869,5
ATG12,115828200,115841837,5
,51451158,51462089,5
RMEL3,57395060,57534504,5
,117719240,117722097,5
,112546973,112547505,5
,125886285,125886753,5
,109497877,109499108,5
,111265809,111270089,5
LINC02060,88408982,88439090,5
LINC02113,99549432,99577957,5
,100399047,100526912,5
LSP1P3,28926816,28927023,5
GUSBP7,100062275,100067954,5
TEX43,126631705,126636284,5
,109840128,109840692,5
EEF1A1P20,99996547,99997932,5
,31093977,31267610,5
,25188059,25188778,5
B3GNTL1P1,52889666,52889954,5
,52903908,52904478,5
PSMC1P4,56275304,56276630,5
,88691757,88695041,5
,67608654,67609130,5
,130598348,130598779,5
,112363456,112363666,5
HMGN1P13,111572102,111572239,5
,67855735,67855986,5
ADGRV1,90529344,91164437,5
,92654848,92679141,5
CTD-2350J17.1,15602189,15619109,5
KRT8P32,98392070,98393530,5
,53024924,53035884,5
,81242330,81242599,5
,124492775,124536348,5
,65209921,65210948,5
,56313905,56321397,5
,91280097,91281142,5
BOLA3P3,126663337,126663568,5
,118760474,118785459,5
PJA2,109334713,109409974,5
,115262505,115263448,5
,91642643,91799234,5
,115031273,115031894,5
RPS17P2,116716243,116716650,5
FCHO2,72956041,73090522,5
,102141893,102146874,5
MTND4LP5,100050359,100050650,5
,53297872,53326565,5
APC,112707498,112846239,5
,133003119,133003365,5
,124395603,124400655,5
,29848684,29849218,5
,108818041,108830790,5
STARD4-AS1,111510396,111739726,5
FABP5P5,95973041,95973446,5
MRPL49P1,64674853,64675387,5
,99594329,99594740,5
,117019548,117019679,5
RPL6P15,133172218,133173053,5
DMXL1-DT,119006347,119070902,5
,112173570,112175548,5
MTCO2P22,100052859,100053539,5
PGAM1P1,58161197,58161752,5
RPS3AP20,79284132,79284918,5
AFF4-DT,132963770,132964164,5
MEGF10,127290796,127465737,5
,83201229,83202141,5
,53089016,53089468,5
CDH12P3,70132679,70132973,5
CSPG4BP,54808210,54872551,5
CSF2,132073789,132076170,5
KRT18P42,109588338,109589592,5
,111277517,111302567,5
,34190056,34193653,5
,130655383,130944178,5
,131261321,131261607,5
,56975593,56976224,5
,45890216,45895970,5
GRAMD2B,126360132,126496494,5
,42806394,42806997,5
MAST4-IT1,66662331,66662988,5
TRIM23,65589690,65625975,5
LINC02240,124808981,125602227,5
,133256492,133275977,5
,98203059,98205193,5
HCN1,45254948,45696498,5
MRPS35P2,98402542,98402732,5
,69653248,69654334,5
C5orf64-AS1,61732774,61735715,5
,89466537,89470039,5
CDO1,115804733,115816659,5
RAB9BP1,105099473,105100098,5
MIR3936HG,132311285,132370170,5
HMGN1P15,115289036,115289330,5
,28927029,28927284,5
,119010060,119010542,5
H3P18,17511833,17512238,5
,42466893,42468300,5
,6019029,6022283,5
EGFLAM,38258409,38465480,5
MTCYBP22,100045928,100046374,5
,55484403,55485086,5
,61347126,61347716,5
HSPE1P10,126737438,126737995,5
DTWD2,118836074,118988547,5
,104773641,104799772,5
CBX3P3,112777630,112778161,5
TMEM251P1,91030990,91031307,5
LINC02216,118575575,118581324,5
BCL9P1,67636382,67638942,5
,133025847,133050178,5
,109448349,109449063,5
,133052769,133052971,5
KLHL3,137617500,137736089,5
ITGA2-AS1,52930606,52990278,5
KATNBL1P4,51930808,51932036,5
,55063179,55066230,5
,43336164,43348716,5
,24578294,24578561,5
,73803296,73803599,5
,115087892,115088475,5
,72087782,72108000,5
ASS1P9,53859166,53860401,5
,36343672,36347157,5
GUSBP19,100375700,100381398,5
LINC02214,116742991,116762209,5
,115493557,115493821,5
MTND3P19,100050719,100051063,5
,130989897,130990428,5
EPB41L4A,112142441,112419313,5
,132987652,132988110,5
GZMAP1,55073015,55096553,5
,108894347,108894628,5
FGF10-AS1,44388732,44413989,5
,99594880,99595297,5
TRIM36-IT1,115148764,115149644,5
MSNP1,25909503,25911234,5
,50929484,50934521,5
RAD50,132556019,132646349,5
,35895689,35896020,5
MAN2A1-DT,109687802,109688329,5
LINC01033,54313564,54415238,5
PCBP2P3,91843687,91844529,5
RPSAP37,125966777,125968085,5
RPEP1,65251127,65251784,5
MTCO2P24,98409675,98410100,5
AP3S1,115841592,115914081,5
,111572236,111572398,5
ARRDC3,91368631,91383317,5
SLC25A46,110738136,110765161,5
,79849552,79849846,5
,131797415,131797929,5
,117031200,117038569,5
,124829472,124830290,5
,106415576,106417241,5
,53413504,53414260,5
LMNB1-DT,126751963,126776486,5
RPL37P25,54399439,54400033,5
CCT7P2,92889387,92890840,5
LINC01848,109883182,109884751,5
,127215159,127229828,5
,69898867,69903198,5
SEPTIN7P10,119126782,119128444,5
LMNB1,126776623,126837020,5
NREP,111662621,111997464,5
,133051065,133051893,5
,92675956,92688254,5
,85112342,85112756,5
TILRLS,67268022,67270182,5
,115264669,115265464,5
LINC02242,67632266,67646789,5
,118581242,118628178,5
,119011471,119012056,5
EPB41L4A-DT,112419583,112420978,5
,85429702,85430184,5
IL9,135892246,135895841,5
,125074665,125074980,5
MIR583HG,96050115,96215519,5
TGFBI,136028988,136063818,5
BHMT2,79069767,79090069,5
,133387773,133388549,5
SMIM32,136191468,136193162,5
,57081745,57081951,5
EDIL3,83940554,84384880,5
PHAX,126600925,126627252,5
NIM1K,43192071,43280850,5
,131944408,131968220,5
,130994253,130996164,5
KRT18P45,80288449,80289781,5
,61831947,61833024,5
LINC01340,97504663,97690180,5
LINC02161,89581209,89677701,5
,53880293,53881051,5
RNF138P1,55530156,55530701,5
MTND6P22,100046450,100046970,5
RIOK2,97160867,97183247,5
,104383298,105392970,5
,133111055,133114475,5
GJA1P1,109051315,109052457,5
TAF11L14,17634460,17635053,5
,121164687,121359869,5
IRX1,3595832,3601403,5
PRR16,120464300,120687332,5
GUSBP16,70751184,70795914,5
,73952940,73954014,5
,109467353,109467952,5
TPT1P5,31908361,31909186,5
LECT2,135922279,135954983,5
,65415353,65416222,5
,124868972,124869914,5
,131008583,131008742,5
LIX1-AS1,97089075,97437217,5
,116819220,116830370,5
TICAM2-AS1,115602057,115623897,5
,115188563,115188932,5
CDH6,31193686,31329146,5
HOMER1,79372636,79514134,5
H3P23,88602780,88603117,5
,110908284,110908713,5
,6030035,6030841,5
FSTL4,133196455,133612541,5
LINC02147,117730515,118266267,5
EGFLAM-AS4,38282264,38290986,5
,34245273,34288755,5
,67690033,67690437,5
LINC01455,79936579,79967626,5
THBS4,79991311,80083287,5
,61375112,61375855,5
GUSBP14,70219918,70258930,5
NNT,43602692,43707405,5
,85446974,85447758,5
HMGN1P17,56381781,56382075,5
,112192020,112210139,5
LINC01339,90153052,90290078,5
CTNNA1-AS1,138744434,138753309,5
ATG10-AS1,82073055,82073702,5
RBBP4P6,85190629,85190830,5
,133457805,133458331,5
HMGCS1,43287470,43313512,5
MAP1B,72107234,72209565,5
,102500541,102505670,5
LINC02224,44495099,44658569,5
TH2LCRR,132630589,132664272,5
,132410832,132646079,5
ESM1,54977867,55022671,5
LINCADL,115956571,115958599,5
LAMTOR3P2,119132651,119132882,5
COQ10BP2,83279921,83280644,5
PSD2-AS1,139740951,139747406,5
,88692651,88692859,5
LINC01950,106815197,107011052,5
LINC01332,74327995,74334766,5
PRELID3BP8,120658077,120658371,5
,79000112,79001124,5
ACTBP4,131659046,131660115,5
,126628019,126628319,5
LINC01170,124059794,124438625,5
CCL28,43376645,43412391,5
,139442316,139462707,5
ANKRD55,56099680,56233330,5
TRPC7-AS1,136214048,136222159,5
CTNNA1P1,115389643,115392370,5
,24729379,24738195,5
,80299678,80302847,5
SPATA9,95652181,95698711,5
OR7H2P,101816475,101816780,5
,33011322,33017607,5
SEMA6A-AS1,116447547,116508276,5
GUSBP9,71197646,71208130,5
,133243764,133248781,5
,17601882,17602134,5
THBS4-AS1,80052374,80083654,5
,42729138,42729519,5
PPIC-AS1,123036271,123054667,5
SMN2,70049638,70078522,5
,136376348,136397042,5
,79510434,79510919,5
,126372477,126509021,5
,100654112,100657970,5
,40474908,40490430,5
,125493261,125602229,5
LINC02058,92907180,92939591,5
,133160438,133224413,5
CCT5P1,115512077,115513694,5
,132817248,132818000,5
RBX1P2,80019609,80019920,5
,17598432,17598559,5
MARCHF3,126867714,127030558,5
RPL5P17,85464434,85465310,5
,121363002,121365314,5
,85237681,85238074,5
,67692812,67693200,5
PSD2,139795808,139844466,5
,133574829,133575298,5
,120781218,120790778,5
BASP1,17065598,17276843,5
,125333369,126368755,5
TRPC7-AS2,136303757,136316100,5
TOMM40P3,33502072,33503135,5
TMEM171,73120569,73131809,5
CDH12P2,69985204,69985501,5
PGGT1B,115204012,115262877,5
SMAD5,136132845,136188747,5
RNF180,64165843,64372869,5
GZMA,55102646,55110252,5
ZCCHC10,132996985,133026604,5
MEIKIN,131806990,131945698,5
BHMT,79111809,79132288,5
,115691462,115692167,5
KCNN2,114055926,114496500,5
AIG1P1,39022411,39022558,5
,109165289,109187152,5
FTH1P9,83426676,83427030,5
LINC02122,74084068,74103216,5
LRRTM2,138868921,138875368,5
FEM1C,115520908,115544775,5
EGFLAM-AS3,38345347,38346551,5
WDR70,37379285,37753435,5
HMGB1P29,124220579,124221077,5
,127170535,127172266,5
,115738978,115756543,5
,144369334,144385310,5
,97183827,97216074,5
,97188090,97201880,5
RPL3P6,61390668,61391871,5
DUX4L51,31249879,31250987,5
PAIP1,43526267,43557758,5
,129500361,129905917,5
SNX24,122843439,123029354,5
RFESD,95646754,95684773,5
LIX1,97091867,97142753,5
ARHGAP26-IT1,143192500,143194166,5
,139772528,139775406,5
,79191549,79191747,5
,85549409,85549952,5
,34373028,34373850,5
,126496279,126498604,5
,142036707,142037125,5
,149372174,149375116,5
,147401760,147401996,5
TRPC6P9,23688927,23689386,5
ASS1P10,145228811,145230054,5
TRPC6P2,145728360,145729349,5
PRDM6-AS1,123087248,123090299,5
SLCO4C1,102233986,102296284,5
,121040090,121044032,5
,120245448,120333502,5
ST8SIA4,100806933,100903282,5
,31923367,31923532,5
,124993408,124996096,5
,125376828,125377439,5
TMED7,115613210,115632992,5
TAF11L6,17528669,17529265,5
MINAR2,129748094,129766732,5
RPS14P8,116562562,116562930,5
,65732973,65733654,5
RPS12P10,142566700,142567076,5
,136466645,136521432,5
,108382156,108418016,5
,143406959,143407420,5
RPL7L1P4,117778826,117779532,5
ERAP2,96875986,96919703,5
RPL35AP16,146137755,146138381,5
SNX2,122775079,122834543,5
,37953402,37966964,5
LINC02039,126179565,126193858,5
,8387638,8457564,5
,33090126,33090349,5
,124452277,124460552,5
,61658474,61698432,5
SELENOTP2,127176696,127177050,5
,144522140,144522988,5
,149425771,149428289,5
BASP1-AS1,17089296,17217047,5
STK32A,147234963,147387855,5
AK3P4,115402380,115402962,5
,80351021,80351956,5
VTRNA2-1,136080470,136080597,5
,143605628,143828772,5
HSPD1P18,136381268,136381511,5
RHOBTB3,95713522,95824383,5
LINC02064,29304305,29396095,5
,97223371,97227957,5
LINC02057,61201304,61304811,5
DDX43P1,115974513,115976275,5
,92823935,92844992,5
,113738106,113776837,5
,139775305,139775472,5
,121195980,121196210,5
,85420028,85420451,5
CTNNA1,138610967,138935034,5
,39092658,39103677,5
,141952419,141953375,5
RBM27,146203605,146289223,5
SNX18,54517759,54546586,5
,131807143,132011637,5
,95861786,95874519,5
HNRNPA3P7,154337471,154338452,5
,121059244,121060953,5
THG1L,157731420,157741449,5
,33519616,33522230,5
LINC02103,28285964,28287807,5
,143489855,143531350,5
,154493576,154494743,5
,18908866,18909543,5
MTCO1P24,98410235,98411792,5
,80315671,80315826,5
,145337932,145381670,5
PELO,52787916,52804044,5
PANK3,168548495,168579368,5
JAKMIP2,147585438,147782775,5
,87412342,87499340,5
LHFPL2,78485215,78770021,5
STK10,172042079,172188224,5
PCBD2,134905120,135007959,5
,55021299,55042844,5
ACSL6-AS1,132003592,132007022,5
MTMR12,32226994,32312987,5
,143752090,143752704,5
,85210060,85210903,5
,93019663,93068669,5
,122832356,122834533,5
HNRNPA1P12,80359080,80360040,5
RPL35AP17,146138771,146139008,5
,154346042,154347834,5
DPYSL3,147390808,147510068,5
,173463484,173484584,5
,97336858,97337040,5
LSM11,157743712,157760709,5
EFCAB9,172194172,172203454,5
,91132303,91142470,5
AFF4,132875395,132963634,5
,146307098,146376963,5
,80997183,80998047,5
,127179756,127179900,5
,9621377,9658458,5
,180226378,180227000,5
AFAP1L1,149271859,149343637,5
YIPF5,144158162,144170714,5
,95701249,95732295,5
HNRNPA1P13,136428892,136429854,5
,24772144,24850971,5
,108593609,108593967,5
SEPHS2P1,14960232,14961393,5
PGAM5P1,109884610,109885423,5
,144856890,145228982,5
PRDM6,123089241,123194266,5
CCDC112,115267190,115296693,5
,109237120,109326369,5
SLCO6A1,102371774,102499016,5
FCHSD1,141639302,141651418,5
MTCYBP40,97677547,97678681,5
,26473505,26484711,5
SLC2A3P1,168552277,168553727,5
PPIC,123023250,123036725,5
ANKRD33B-AS1,10627260,10628225,5
,87767608,87774070,5
,120345907,120410969,5
TTC33,40512333,40755963,5
,163709210,163709514,5
,141718711,141775187,5
LNPEP,96935394,97037513,5
BTNL9,181040225,181061521,5
,141822076,141825488,5
PPARGC1B,149730298,149855022,5
,85212958,85213614,5
PGBD4P3,148307298,148308258,5
ARL2BPP5,162761833,162762313,5
ARHGAP26-AS1,142859604,142868922,5
,157931258,157931563,5
NDFIP1,142108779,142154440,5
,157747504,157747707,5
LIFR-AS1,38556765,38671216,5
,163855140,163856642,5
,149324220,149345333,5
MRPS5P3,127143082,127143247,5
LINC02201,122628952,122730685,5
,132011448,132013199,5
SLC12A2,128083766,128189677,5
CTBP2P4,98576341,98577260,5
UBTD2,172209646,172283764,5
RPL35AP15,117301104,117301442,5
KLF3P1,172254418,172255439,5
YTHDF1P1,97368776,97370421,5
SPINK7,148312419,148315922,5
,136734830,136763409,5
,145429811,145451108,5
GNPDA1,141991749,142013041,5
,99522311,99525462,5
,96247776,96278751,5
MARK2P11,157984658,157989990,5
,173562478,173573199,5
ANKRD49P3,136857628,136858342,5
MAML1,179732822,179777283,5
NIHCOLE,104079847,104406121,5
EEF1A1P50,132942932,132945050,5
,142165767,142168387,5
,124459912,124460549,5
SAP30L,154445997,154461053,5
,87863703,88144455,5
,160258253,160258585,5
LSM1P2,163887506,163887827,5
LINC00847,180830326,180839742,5
SEMA6A-AS2,116574482,116611200,5
HMGB1P21,78644265,78644845,5
,147725551,147728464,5
PTMAP2,118973796,118974122,5
,142703782,142705421,5
RPL5P16,82777797,82778586,5
SPINK9,148321203,148339852,5
RPS26P28,16902294,16902641,5
NRG2,139846779,140043299,5
RARS1,168486451,168519301,5
,97737894,97738913,5
,180257680,180258366,5
,173574938,173576275,5
ZBED8,160393148,160400054,5
RPL10P9,168616352,168616996,5
ARGFXP1,122675795,122676755,5
,160247517,160248217,5
,144439204,144468471,5
GAPDHP71,174513305,174514307,5
,143531331,143598434,5
,165782805,165783134,5
,157986146,157987706,5
,18965861,19142346,5
,142946569,142947105,5
KIF20A,138178719,138187723,5
TMED7-TICAM2,115578642,115626161,5
NAMPTP2,145001853,145005789,5
FAM174A,100535374,100586741,5
COMMD10,116085016,116412762,5
,148362777,148372152,5
LINC01938,165220577,165241756,5
TNFAIP8,119268692,119399688,5
,147851644,147852659,5
,160326693,160326969,5
,97449358,97449741,5
ATP6V0E1P1,132948493,132948718,5
POGLUT2P1,128109486,128110994,5
SUMO2P6,174561776,174562063,5
,168654513,168667761,5
DHFR,80626226,80654983,5
,81113385,81114852,5
SH3RF2,145936578,146081791,5
,158078099,158078764,5
,124469591,124469901,5
,38429892,38430160,5
LINC02995,173578275,173585068,5
SH3PXD2B,172325000,172454525,5
SMAD5-AS1,136129507,136134890,5
MRPL57P6,163039291,163039599,5
KCTD16,144170873,144485686,5
,164119098,164234097,5
RPL23AP44,121575848,121576320,5
,96942299,96943184,5
,165905126,165905608,5
,146203550,146339251,5
,141882815,141907939,5
,165349030,165778689,5
HAND1,154474972,154478227,5
,131425891,131796983,5
,180833928,180835726,5
CKS1BP5,144439206,144439478,5
FBLL1,168529305,168530634,5
BTG4P1,24786842,24787024,5
,164209631,164211892,5
,170483806,170486407,5
,82919376,82921119,5
,165129307,165153014,5
,97799404,97882687,5
,174618164,174625775,5
,158173601,158176422,5
PTTG1,160421855,160428739,5
IL3,132060655,132063204,5
TAF11L12,17610496,17611583,5
,93088856,93091768,5
,82824884,82825184,5
ETF1,138506095,138543236,5
,19035197,19038799,5
,154483917,154486150,5
,24135160,24271863,5
,158175396,158200016,5
HMGB1P22,125265528,125265651,5
,175483595,175484192,5
ARHGAP26,142770377,143229011,5
HIGD1AP3,174632932,174633209,5
,174751304,174850725,5
,148430159,148430807,5
SCGB3A2,147870682,147882191,5
,121616247,121616807,5
LINC02229,66507380,66511644,5
,172479274,172536444,5
,135897637,135900250,5
PLAC8L1,146084313,146105577,5
DELE1,141923855,141942047,5
GABRA1,161847063,161899981,5
KCNIP1-OT1,170389493,170422844,5
RPL12P22,174039751,174040240,5
MIR3142HG,160438594,160487426,5
,162424042,163437326,5
ELL2,95885098,95961851,5
,139684645,139745010,5
GFPT2,180300698,180353336,5
KCNIP1-AS1,170639158,170681437,5
,82940458,82940983,5
HMGN2P27,116218026,116218295,5
,141896168,141896689,5
,158188977,158189911,5
,174820027,174826324,5
,121671373,121671872,5
FGF1,142592178,142698070,5
POLD2P1,93267429,93268425,5
GRPEL2,149345430,149354583,5
LINC01949,87205408,87240145,5
FBXL21P,135930317,135951591,5
MSX2,174724582,174730896,5
,135900353,135918161,5
LINC01951,174919082,174995513,5
LINC01844,142716229,142761035,5
RPL7AP33,173225836,173226423,5
,170747047,170788650,5
BOD1,173607145,173616659,5
,158225352,158234376,5
,141825708,141826325,5
SLU7,160401641,160421711,5
ARAP3,141653401,141682230,5
,172656522,172656713,5
LINC01847,159698586,159937766,5
ATP10B,160563120,160852214,5
RANBP17,170861870,171300015,5
,116302354,116304134,5
FTMT,121851882,121852833,5
NSG2,174045706,174243501,5
ST13P12,82968888,82977153,5
NR3C1,143277931,143435512,5
NIFKP2,174923090,174923945,5
ADAMTS19-AS1,129424782,129461076,5
,149163955,149276776,5
SLIT3-AS2,168706567,168720884,5
BTNL8,180899077,180950906,5
,180810401,180811384,5
,158256137,158258436,5
,170896929,170904461,5
LIFR,38474668,38608354,5
,174926541,174926717,5
,160613873,160639183,5
,146099406,146120412,5
RASA1,87267883,87391931,5
RPS29P12,180945756,180945907,5
GRPEL2-AS1,149348116,149357642,5
MRPL22,154941073,154969411,5
TMEM232,110289233,110738956,5
,172690454,172697720,5
,95962001,96631085,5
ALDH7A1,126531200,126595362,5
,29239922,29265940,5
,158275711,158278813,5
C5orf47,173973779,174006140,5
NKX2-5,173232109,173235311,5
,174056060,174056585,5
ADRA1B,159865080,159973012,5
,174986295,174987050,5
RPL7P21,143332605,143333239,5
RPL6P32,155111184,155112324,5
,180967189,180970762,5
LINC02227,158320683,158409773,5
PTGER4,40679915,40693735,5
ARHGEF37,149551947,149634968,5
NLN,65722205,65871725,5
